ID,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_5,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_12,Q9,Q10,Q10_기타,Q11,Q11_기타,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_9,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q16_1,Q16_2,Q16_3,Q16_4,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_5,Q18,Q19,Q20
14649,1,,,3,,,,1,,,,,,,,,,,,,4,3,,2,,,,3,,5,,,,,,,2,,,5,,,,2,2,1,2,2,2,,2,,,,,1,2,3,4,,,2,,
14665,1,,,,4,,,1,2,,4,5,,,,,,,,,4,3,,,,1,,3,,5,,,,,,,,3,,,,,,2,2,2,2,3,2,3,3,,,,,1,2,3,4,,,1,구체적인 사례와 예시,연구비 집행
14666,1,,,3,,,,,2,,,5,,,,,,,,,4,3,,2,,1,2,3,,,,,,,,,2,3,,5,,,,1,2,2,1,,2,2,,,,,,,,3,4,,,2,,
14641,1,,,3,,,,1,2,3,4,5,6,7,8,9,10,,,,4,3,,,,1,2,,4,5,6,7,8,,,,2,3,,,6,,,2,2,2,2,2,2,2,2,,,,,1,,3,4,,,1,,
14669,1,,,3,,,,1,,,,5,,,,,,,,,4,3,,1,,,2,,,,,7,,,,,2,,,5,6,,,2,2,1,1,2,2,,,,,,,,2,,4,,,2,,
14648,1,,,,4,,,1,2,,,,6,,,,,,,,3,,,1,,,,3,,,,,,,,1,,,4,,,,,2,2,2,2,2,2,2,2,,,,,,,3,,,,1,연구윤리 관련 교육과 정보제공,
14684,1,,,3,,,,1,2,,4,5,6,7,8,9,10,,,,3,,,2,,1,2,3,4,5,6,7,,,,1,,3,4,,,,,2,2,2,1,2,3,2,4,,,,,,,3,,,,1,홍보와 접근성 개선,연구윤리 교육과 지침
14710,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,,,,5,,,,2,2,2,2,2,3,2,2,Face-to-Face Traning,Face-to-Face Traning,Face-to-Face Traning,Face-to-Face Traning,1,2,,,,,2,,대면 교육
14640,1,,,3,,,,1,2,3,,5,6,7,8,9,10,,,,2,,,3,,1,2,,,5,6,,,,,1,,3,,5,6,,,2,1,1,1,3,3,3,3,,,,,,,,4,,,2,,
14657,1,,,3,,,,1,2,,,5,6,7,,,,,,,4,3,,2,,1,2,,,,6,7,,,,1,,3,,5,6,,,2,2,2,2,2,2,2,2,,,,,,2,3,4,,,1,,
14699,1,,,3,,,,,,,,,,7,,,,,,,4,3,,2,,1,2,,4,,,,,,,,,,,5,,,,1,1,1,1,,,,,,,,,,2,,,,,2,,논문 표절과 관련된 구체적인 사례
14668,1,,,3,4,,,1,,,4,5,,,,9,10,,,,4,3,,,,,,,,,6,7,,,,,,,,5,6,,,2,2,2,2,2,2,2,2,,,,,1,,,4,,,1,,
14642,1,1,,3,4,,,,2,,4,5,6,,8,9,10,,,,4,3,,2,,1,,,,5,,7,,,,1,,,4,,,,,2,2,2,2,2,2,2,2,,,,,,2,,,,,1,Q&A 제작 시 원내연구자의 질의사항 반영,연국기관간 연구수행성과 및 내용의 소유에 대한 내용
14695,1,,,3,4,,,,2,,4,5,,7,8,9,,,,,3,,,3,,1,,3,,5,6,7,8,,,,,3,,,6,,,1,2,2,1,,2,2,,,,,Items with objective indicators inserted,,2,,,,,1,구체적인 사례와 예시,연구윤리 교육과 지침
14698,1,,,3,,,,,2,,,5,,,,,,,,,4,3,,1,,,2,3,4,,,,,,,,2,,,,,,,1,1,1,1,,,,,,,,,1,,,,,,2,,
14733,1,,,3,4,,,1,2,,4,5,6,,8,,10,,,,4,1,,2,,,,,,,,7,,,,,2,,4,,,,,2,2,1,1,2,2,,,,,,,1,2,,4,,,2,,
14639,1,,,3,,,,,,,,5,6,7,,,,,,,3,,,3,,1,2,3,,,,7,,,,1,,3,,,,,,1,1,1,1,,,,,,,,,,2,,,,,2,,인공지능 및 AI 연구
14693,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,,,,,2,,,,,,,1,2,2,2,,1,1,1,,,,,,2,3,,,,1,Q&A 제작 시 원내연구자의 질의사항 반영,논문 중복 및 표절 관련
14677,1,1,,3,,,,1,2,,,5,6,7,8,,10,,,,4,3,,1,,,,,4,5,,7,8,,,1,2,,,,,,,2,2,2,2,2,2,2,2,,,,,,2,3,,,,1,구체적인 사례와 예시,연구비 집행
14658,1,,,,4,,,1,,,4,,,,8,,,,,,4,1,,,Contents,,,3,,,,7,,,,,2,,,,6,,,2,2,2,1,2,2,2,,need publicity,need publicity,need publicity,,,,3,,5,사례 중심,1,홍보와 접근성 개선,연구비 집행
14738,1,,,3,,,,1,,,,5,,,,,,,,,3,,,3,,,,3,4,5,,,,,,,,,,,6,,,2,2,1,1,3,3,,,Work Related Case,,,,1,2,,,,,2,,
14778,1,,,3,,,,1,,,,,,,,,,,,,5,1,,4,,,,3,,,,,,,,1,,,,,,,,2,2,2,2,1,1,1,1,Work Related Case,Work Related Case,Work Related Case,Work Related Case,,,3,,,,2,,기타 고민 사항
14637,1,1,,3,,,,1,,3,,,,,,,,,,,4,2,,,,,2,,,,6,7,,,,,2,,,,6,,,2,2,2,2,,,,,,,,,1,,3,,,,1,,
14763,1,1,,3,,,,1,2,,,5,,,8,,,,,,5,1,,2,,,,3,,5,,7,,,,,2,3,,,,,,2,2,2,2,1,1,2,1,,,,,1,,,,,,1,,
14779,1,,,3,4,,,,,,4,5,,,8,9,,11,,,5,3,,2,,1,,,4,,,,,,,1,,3,,,,,,2,2,2,2,1,1,1,1,,,,,,2,,,,,2,,
14775,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,2,3,,,,,,1,2,2,1,3,2,2,3,,,,,,2,3,,,,1,,
14709,1,,,3,,,,1,2,,,5,6,,,9,10,11,,,3,,,3,,1,,,,,6,,8,,,1,,3,,5,,,,2,2,1,1,3,3,,,,,,,1,2,,4,,,2,,
14802,1,,2,,,,,,,3,,,,,,,,,,,2,,,2,,,,3,,,,,,,,1,,,,,,,,2,1,2,2,2,3,3,3,Old,,,Work Related Case,,2,,,,,1,,
14628,1,,,3,,,,1,,,4,5,,,,9,,,,,5,3,,2,,,,3,,,,7,,,,1,,,,5,,,,2,2,2,2,1,1,1,1,,,,,,,,4,,,1,구체적인 사례와 예시,인공지능 및 AI 연구
14783,1,,,3,,,,,2,,,5,6,,,,,,,,4,3,,2,,1,2,,,,6,,,,,1,,3,,,6,,,2,2,2,2,,,,,,,,,1,2,,,,,1,,
14787,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,,,,,,,1,,3,,,,,,1,1,1,1,,,,,,,,,,,3,4,,,2,,
14673,1,,,3,,,,1,,,,5,6,,,,,,,,4,3,,2,,1,,3,4,,,,,,,,2,3,,,,,,2,2,2,2,1,1,1,2,,,,Checklist needs to be detailed,,,,4,,,2,,기타 고민 사항
14714,1,1,,,,,,1,2,,4,5,,,8,9,10,,,,5,3,,,,1,,,,5,,7,8,,,1,,,,,,,,2,2,2,2,1,1,1,1,,,,,,2,,,,,1,홍보와 접근성 개선,기타 고민 사항
14805,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,7,,,,,2,,,,,,,1,1,1,1,,,,,need publicity,need publicity,need publicity,need publicity,1,2,3,4,,,2,,연구비 집행
14804,1,,,3,,,,,2,,4,,,,,,,11,,,4,3,,2,,1,,,4,,,7,8,,,,2,3,,,,,,2,2,2,2,2,2,3,3,,,,,,,3,4,,,1,구체적인 사례와 예시,인공지능 및 AI 연구
14809,1,,,,4,,,1,2,,,5,,,,,,,,,5,3,,2,,1,2,3,,,,,,,,,,3,,,,,,1,1,1,1,,,,,,,,,,,,4,,,2,,
14711,1,,,3,4,,,1,2,,,5,6,,,,,,,,4,3,,1,,,,3,4,5,,7,,,,1,,3,,,6,,,2,2,2,2,2,1,1,2,,,,,,2,,4,,,1,,
14708,1,1,,3,,,,,2,,,,,,8,,,,,,4,3,,,Contents,,,,,,,7,8,,,,,3,,,6,,,1,2,2,1,,3,3,,,,,,,,3,,,,1,홍보와 접근성 개선,구체적인 사례 중심의 연구윤리 교육
14834,1,,2,3,,,,1,2,,4,5,,7,8,,,11,,,5,3,,,,1,,,,5,,7,8,,,,,3,,,6,,,2,2,2,2,1,1,1,1,,,,,1,,,,,,2,,
14814,1,1,,3,,,,,2,,,5,,,,,10,11,,,4,3,,1,,1,2,,4,5,6,7,8,,,,2,3,,5,6,,,1,2,2,2,,3,3,3,,,,,,2,3,,,,2,,
14817,1,,,3,,,,1,2,3,,5,6,,,,10,,,,4,3,,2,,,,3,4,,,7,,,,,2,3,,,6,,,1,1,1,1,,,,,,,,,,2,,4,,,2,,연구 데이터와 현장조사
14849,1,,,3,,,,1,,,,5,,7,,,,11,,,5,2,,3,,1,,,,,,,,,,,2,,,,,,,2,2,2,2,3,2,2,1,Case-based Contents,,,,,,3,,,,1,연구윤리 관련 교육과 정보제공,
14853,1,1,,3,4,,,1,2,,4,5,,7,8,,10,,,,4,2,,4,,1,,3,,,,7,,,,,,3,,,,,,2,2,2,2,2,2,1,2,Too long,Case-based Contents,,,,,3,,,,1,구체적인 사례와 예시,
14858,1,,,3,,,,,,3,,5,,,,,,,,,4,3,,1,,1,,,,,,7,,,,1,,,,,,,,2,2,2,2,2,2,1,1,Work Related Case,Work Related Case,,,,2,,4,,,2,,
14871,1,,,3,,,,,2,,,5,,,,,,,,,4,3,,,,1,,,4,5,,,8,,,,2,3,,5,,,,1,2,1,2,,2,,2,,,,,1,,3,,,,2,,
14883,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,7,,,,,,,,,6,,,1,2,1,1,,3,,,,,,,,2,,,,,2,,
14860,1,,,,,5,Online,1,2,,,,,,8,,,,,,4,3,,,,,,3,,,,7,,,,,,,4,,6,,,2,2,2,2,4,4,4,4,,,AI-related,,,2,3,,,,2,,인공지능 및 AI 연구
14707,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,3,,5,,,,1,2,2,1,,3,3,,,,,,,,3,4,,,1,,
14731,1,,,3,,,,1,2,,,5,,7,,,,,,,3,,,3,,1,,,,,6,7,,,,,,3,,,,,,2,2,2,2,2,2,2,2,,,,,,2,,,,,2,연구윤리 관련 교육과 정보제공,부실 학술지 및 연구윤리에 관한 고민
14930,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,2,,,,,,,1,2,1,1,3,4,3,3,,,,,,2,,,,,2,,
14919,1,1,2,3,,,,,2,,,,,,8,,10,11,,,4,1,,4,,1,2,,,,6,7,,,,,2,3,,,6,,,2,2,2,2,2,2,2,2,,,,,1,,,4,,,1,홍보와 접근성 개선,부실 학술지 및 연구윤리에 관한 고민
14623,1,1,,3,,,,1,2,3,,5,,,,,10,,,,4,3,,4,,,,,,,,7,,,,1,,,,,6,,,2,2,2,2,2,2,2,2,,,,,1,,,,,,1,,
15036,1,1,,,4,,,1,2,3,,5,,7,8,9,10,,,,4,1,,3,,1,2,,,,6,7,,,,1,,3,,5,,,,2,2,2,2,2,1,2,2,,,,,1,2,,,,,1,AI활용 관련 연구윤리 내용 추가,표절 및 유사도 검사
15062,1,,,3,,,,,,,,5,,,,,,,,,4,3,,2,,1,2,,,,6,,,,,,,3,,,,,,1,1,1,1,,,,,,,,,,2,,,,,2,,
15126,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,1,1,1,1,3,4,3,3,,,,,,2,,,,,2,,
15149,1,,,3,,,,1,,,,,,,,,,,,,3,,,4,,,,3,,,,,,,,,2,,,5,,,,2,2,2,2,2,2,3,2,,,,,1,,,,,,2,,
15204,1,,,3,,,,1,2,,,5,6,,,,,,,,4,3,,2,,1,2,3,,,,7,,,,1,2,,,5,,,,2,2,1,1,2,1,,,,,,,,2,3,,,,2,,
15222,1,,,3,,,,1,2,,,,6,,8,,,,,,4,3,,,,,2,,,,,7,,,,,,3,4,,,,,2,2,1,2,2,2,3,2,,,,,,,3,,,,2,,
15169,1,,,3,,,,1,,,4,5,,,,,,,,,4,3,,,Possibility of raising awareness of research ethics,,2,3,,5,,,,,,1,,,,,6,,,2,2,1,1,1,1,,,,,,,1,,,,,,2,,연구윤리 교육과 지침
15272,1,,,3,,,,,2,,,5,,,8,,10,,,,4,3,,5,Contents,,,,,,,,,9,Contents,,,3,,,,,,2,2,2,2,2,3,2,2,Case-based Contents,Case-based Contents,KIOST-related Contents,Checklist and Remind,,2,3,,,,1,Q&A 제작 시 원내연구자의 질의사항 반영,연구 참여자 및 출판 윤리
15274,1,,,3,,,,,2,,,5,,7,,,,,,,3,,,1,,,,3,,,,7,,,,,,,,5,,,,2,1,1,1,3,3,3,3,,,,,,2,,,,,2,,
15244,1,,,3,4,,,1,2,,4,5,,,8,9,10,,,,4,1,,2,,1,2,,,,,,,,,,2,3,,,6,,,1,2,1,1,,2,,,,,,,,2,,,,,2,,연구 참여자 및 출판 윤리
15289,1,1,,3,,,,1,,,,5,,,,9,10,,,,4,3,,2,,1,,,,,,7,8,,,1,,3,,,,,,2,2,2,2,2,2,2,2,,,,,,,3,,,,1,,
15291,1,1,,,,,,,,,,5,,,,,10,,,,4,1,,2,,1,,3,,,,,8,,,1,,3,,,,,,2,2,2,1,3,3,3,,,,,,,,3,,,,2,,
15304,1,,,3,,,,,2,,,,,,,,,,,,3,,,3,,,2,,,,,7,,,,,,,,,6,,,2,2,2,1,3,1,2,,,,,,,2,,,,,2,,인공지능 및 AI 연구
15361,1,,,3,,,,1,2,3,4,5,,,,,,11,,,4,3,,,,1,,3,,,,7,,,,,2,,,,,,,2,2,2,2,1,1,1,1,,,,,1,,3,,,,1,홍보와 접근성 개선,인공지능 및 AI 연구
15395,1,,,3,,,,,,,,5,,,,,,,,,4,3,,4,,1,,3,,,,,,,,,,3,,,6,,,1,1,2,1,,,2,,,,,,1,,,,,,2,,
15400,1,,,3,4,,,1,2,3,4,5,6,7,8,9,10,,,,4,3,,,,1,,,,5,,7,8,,,,2,,,,6,,,2,2,2,2,2,2,2,2,,,,,,,,,5,,1,,
15426,1,,,3,4,,,1,2,,,5,,,,,,,,,4,1,,4,,1,2,3,4,5,6,,,,,,2,3,,5,6,,,2,2,1,1,2,2,,,,,,,1,2,3,4,,,2,,
15396,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,7,,,,1,2,3,,,,,,2,1,1,1,3,,,,,,,,,,3,4,,,2,,인공지능 및 AI 연구
15456,1,1,,,,,,1,2,,,,,,8,,,,,,3,,,3,,1,2,3,,,,,,,,1,,,,5,6,,,1,1,1,1,,,,,,,,,1,,,4,,,2,,
15435,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,3,4,,,,,1,1,1,1,,,,,,,,,,,3,4,,,2,,기타 고민 사항
15515,1,1,,3,,,,,2,,,,6,,,,10,,,,4,3,,1,,,,,,,,7,,,,1,,,,5,6,,,2,2,2,2,1,1,1,1,,,,,1,,,4,,,2,,
15541,1,,,3,,,,1,2,,4,5,,7,8,9,10,,,,5,1,,,,,2,3,,,6,7,,,,,,3,,,6,,,2,1,1,1,1,3,3,3,,,,,1,,3,,,,2,,
15557,1,,,3,,,,1,2,,,,,,,,10,,,,3,,,,,1,2,,,,,,,,,,2,,4,,,,,1,2,1,1,,2,,,,,,,,2,3,,,,2,,연구 참여자 및 출판 윤리
15478,1,,,3,,,,,,,,,,7,,,,,,,3,,,3,,,2,,4,5,,7,,,,1,,3,,,,,,1,2,1,1,,3,,,,,,,,2,3,4,,,2,,인공지능 및 AI 연구
15571,1,1,2,3,,,,1,,,,,6,,8,9,,,,,3,,,3,,1,2,,,,,,,,,,,3,,,,,,2,2,1,1,3,3,,,,,,,,,,4,,,2,,
14682,1,,,3,,,,1,2,,,5,,,,,,,,,4,3,,2,,1,,,4,5,,,,,,,,,,5,,,,1,2,2,2,,2,2,2,,,,,,2,,,,,1,,
15597,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,8,,,1,,3,,,,,,1,2,2,2,,1,1,1,,,,,,2,3,4,,,1,홍보와 접근성 개선,표절 및 유사도 검사
15641,1,,,3,,,,1,,,,,,,,,,,,,4,1,,1,,,,3,,5,,,,,,,,,,,6,,,2,2,2,2,2,2,2,2,,,,,1,,,,,,1,,
15654,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,7,,,,1,,,,5,,,,1,1,1,1,,,,,,,,,,,3,4,,,2,,
15701,1,,,3,,,,,2,3,,5,,,,,,11,,,4,1,,3,,1,2,,,5,,,,,,,2,3,,,,,,2,2,2,2,2,2,2,2,,,,,1,,,,,,2,,
15299,1,,,3,,,,1,,,,5,,,,,,,,,5,3,,5,,1,2,3,4,5,6,7,,,,,,3,,,,,,2,2,2,2,1,1,1,1,,,,,1,,3,4,,,2,,
15529,1,,,3,,,,1,,,,5,6,7,,,10,,,,4,3,,2,,,2,3,4,5,,7,,,,1,,,4,,6,,,2,2,2,2,,,,,Case-based Contents,,,,1,,,,,,1,연구윤리 관련 교육과 정보제공,표절 및 유사도 검사
15758,1,,,3,,,,,2,,,5,,,,9,10,,,,5,1,,5,,,,,,,,7,,,,,,3,,,,,,2,2,2,2,1,1,1,1,,,,,,,3,4,,,1,,
15896,1,,,3,,,,1,,,,5,,,,,10,,,,3,,,2,,1,,,,5,6,7,,,,,,3,,,,,,2,2,1,1,2,2,,,,,,,,2,3,4,,,2,,
16207,1,,,3,,,,1,2,3,,5,6,7,8,9,,,,,5,2,,4,,,,,4,,6,,,,,,,,,5,6,,,2,2,2,2,1,1,1,1,,,,,1,2,3,4,,,2,,
16458,1,1,,,,,,1,2,,,5,,,8,9,10,,,,5,3,,,Contents,,,,,,,7,,,,,,,,5,,,,2,1,2,1,2,,2,,AI-related,,Trend Q&A,,1,,,4,,,1,AI활용 관련 연구윤리 내용 추가,인공지능 및 AI 연구
16522,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,6,,,,,,,3,,,,,,2,2,2,2,2,2,1,1,boring,,,,,,3,4,,,1,구체적인 사례와 예시,연구비 집행
16655,1,,,3,,,,,2,3,,5,,,8,,,,,,4,3,,,,1,,,,,,,,,,1,,,,,,,,2,2,2,1,1,1,1,3,,,,,,2,,,,,2,,
16933,1,,,3,,,,1,2,3,4,5,,,8,,,,,,4,1,,3,,1,2,3,,,,7,,,,1,,3,,5,,,,2,2,1,2,2,2,,2,,,,,,2,,,,,1,,
16918,1,,,3,,,,1,,,,5,6,,,,,,,,3,,,3,,1,,3,4,,,7,,,,,,,,5,6,,,2,2,2,2,2,2,2,2,,,,,1,2,,4,,,1,,
16962,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,8,,,,,3,,,,,,1,2,2,1,,2,2,,Simple consist,Multi Channel,KIOST-related Contents,Constant distribution,,,3,,,,2,,
17159,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,5,6,7,8,,,,,3,,5,6,,,1,1,1,1,,,,,,,,,1,2,3,4,,,2,,
17568,1,,,3,,,,1,2,,,5,,7,,,,,,,4,3,,,,1,,,,,,7,,,,,,3,,,,,,2,2,1,1,2,2,,,,,,,,,,4,,,2,,
18141,1,,,3,,,,1,2,,,,,,,,,,,,4,3,,4,,,,3,,,,,,,,1,,3,,,,,,2,2,2,1,2,2,2,3,,,,,1,,,,,,2,,연구비 집행
18796,1,,,3,,,,,,,,5,,,,,,,,,4,3,,,,,2,,,,6,,,,,,2,3,,,,,,1,2,1,1,,2,,,,,,,,2,,4,,,2,,
20367,1,1,,,,,,1,2,,,5,6,,,9,,,,,3,,,2,,,2,3,,,,7,,,,,,3,,,,,,2,2,2,2,2,2,2,2,,,,,,,3,4,,,1,  ,
20180,1,,,3,,,,,,3,,,,7,8,,,,,,3,,,2,,1,,,,,,7,,,,1,,3,,,,,,2,2,2,2,2,2,1,2,Serious Contents,Case-based Contents,Many Q&A,,,,3,4,,,1,교육 방법의 다양성,연구윤리 교육과 지침
23778,1,,,,4,,,1,,,,5,,,,,,11,,,4,3,,,,,2,,,5,,7,,,,,2,3,,,,,,1,2,2,1,,2,2,,,,,,,2,,4,,,1,연구 윤리 위반 사례,표절 및 유사도 검사
23802,1,,,,4,,,1,2,3,4,5,6,7,8,9,10,,,,4,3,,,,1,2,3,4,5,6,7,,,,1,2,3,,,,,,1,1,1,1,,,,,,,,,1,,3,4,,,2,,
24887,1,,,3,,,,1,2,,,5,,,,,10,,,,4,3,,4,,1,,,,,,,,,,,2,,,,6,,,2,2,2,2,2,2,2,2,,,,,,,3,4,,,1,,
26069,1,,,3,,,,1,2,3,4,5,,7,,,10,,,,4,3,,2,,,,,,,,7,8,,,,,3,,,6,,,2,2,2,2,2,2,2,2,,,,,,,,4,,,2,,
26065,1,,,3,,,,1,2,,,5,,,,,,,,,5,2,,,,,2,3,4,,,7,,,,,,,,,6,,,2,2,1,1,1,1,,,,,,,,2,,,,,2,,
26058,1,,,3,4,,,,,,,5,,,,9,10,11,,,3,,,5,Methods,,,,,,,7,8,,,,,3,,,6,,,1,2,2,2,,2,2,2,,,,,,,,4,,,2,,
26061,1,,,3,,,,1,,3,4,5,,7,,,,,,,5,2,,,,,2,,4,,,7,,,,,2,,,,6,,,2,2,1,1,2,2,,,,,,,1,2,,,,,2,,
26062,1,,,3,4,,,1,,3,,,,7,,,,,,,4,3,,,,,2,,,,,7,,,,,2,3,,5,,,,1,1,1,1,,,,,,,,,,,,4,,,2,,
26057,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,7,,,,,2,3,4,5,,,,2,2,2,2,3,3,3,3,,,,,1,,3,,,,1,교육 방법의 다양성,연구윤리 교육과 지침
26077,1,,,,4,,,,,,,,,7,,,,,,,4,2,,1,,1,,3,4,,,7,,,,,2,,,,6,,,1,1,1,1,,,,,,,,,,2,,,,,2,,인공지능 및 AI 연구
26081,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,6,,,,,1,,,,,,,,1,1,1,1,,,,,,,,,1,,,,,,2,,
26076,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,4,,,,,,,,,3,,,,,,1,2,1,1,,2,,,,,,,,2,,4,,,2,,
26075,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,5,,,8,,,,2,,,,,,,1,1,1,1,,,,,,,,,1,2,3,,,,2,,
26074,1,,,3,,,,,2,,,,,,,,10,,,,5,3,,1,,1,,,,,,7,,,,,,,,,6,,,2,2,1,1,2,2,2,2,,,,,1,,,4,,,2,,
26066,1,1,,3,,,,1,2,,,5,,,,,10,,,,4,1,,4,,,,,,5,,7,8,,,,2,3,,,6,,,1,1,1,2,2,2,2,3,,,,,1,,,4,,,2,,
26064,1,,,,,5,Online,,2,3,,,,,8,9,10,,,,4,2,,1,,,,,,5,,7,8,,,,,3,,,6,,,1,1,1,1,,,,,,,,,,,3,4,,,2,,
26083,1,1,,3,,,,1,2,,,5,,,,9,10,,,,4,3,,4,,,,3,4,,,7,8,,,,,3,,,6,,,2,2,2,2,2,2,2,2,,Case-based Contents,,,,,3,4,,,1,Q&A 제작 시 원내연구자의 질의사항 반영,연구 참여자 및 출판 윤리
26063,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,1,1,1,1,,,,,,,,,1,,,4,,,2,,
26078,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,7,8,,,,,,,,6,,,2,2,1,2,2,2,3,2,,,,,,2,,4,,,2,,인공지능 및 AI 연구
26090,1,,,,4,,,1,2,3,4,5,6,7,8,9,10,,,,3,,,2,,1,2,3,,,,7,,,,1,,,,,,,,1,1,1,1,,,,,,,,,,,3,,,,1,구체적인 사례와 예시,기타 고민 사항
26082,1,1,,,,,,1,2,,4,5,6,7,,,10,,,,4,3,,,,1,2,3,,,,7,,,,,2,,,,6,,,2,2,2,2,2,2,2,2,,,,,,2,,,,,1,,인공지능 및 AI 연구
26085,1,,,3,,,,1,2,,,5,,,,,,,,,3,,,2,,,2,3,,,,,,,,1,,3,,,,,,1,1,1,1,,,,,,,,,,,3,4,,,2,,연구 참여자 및 출판 윤리
26093,1,1,,3,,,,1,2,3,,5,6,,,,10,,,,4,3,,2,,,2,,,,,7,,,,,2,3,,,,,,2,2,1,1,2,2,,,Serious Contents,Case-based Contents,Case-based Contents,Short,,2,,4,,,1,교육 방법의 다양성,이해충돌
26132,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,7,,,,1,2,3,,,6,,,1,1,1,1,,,,,,,,,1,,,,,,2,,
