,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q38_10,Q38_11,Q38_12,Q38_13,Q38_14,Q38_15,Q38_16,Q38_17,Q38_18,Q38_19,Q39_1
14763,5,4,4,5,4,5,5,4,5,4,4,5,4,5,5,4,4,5,5,
14779,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,3,3
14775,4,3,4,3,3,3,4,4,3,3,4,4,3,4,4,4,3,3,3,4
14709,4,4,3,4,5,5,5,4,4,5,3,4,4,3,4,5,4,4,4,
14802,4,3,4,3,3,2,3,3,3,3,2,3,3,3,2,3,3,3,2,3
14628,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
14783,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4
14787,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,
14673,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
14714,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
14805,4,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3
14804,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,
14809,4,5,5,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,4
14711,5,3,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,
14708,5,3,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,4,3,3
14834,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
14814,4,4,4,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4,5,
14817,5,5,4,4,5,5,5,5,4,5,5,4,4,5,5,4,4,5,5,4
14849,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14853,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14858,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,4,4,4,4,5
14871,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4
14883,4,3,4,3,4,4,5,4,3,4,3,4,4,2,4,4,4,4,3,4
14860,4,3,4,3,4,4,4,5,3,4,5,5,4,4,4,4,4,4,4,
14707,4,3,3,2,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,
14731,5,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4
14930,3,2,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3
14919,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14623,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15036,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15062,4,4,4,4,4,5,5,5,4,5,5,4,3,4,4,4,4,4,4,
15126,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
15149,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15204,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
15222,4,3,4,3,4,5,5,4,4,5,5,4,5,5,5,4,5,5,5,4
15169,4,5,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4
15272,4,3,3,4,4,4,3,2,3,4,3,3,4,4,3,3,3,4,3,3
15274,4,4,4,5,5,5,5,5,4,5,4,3,4,4,4,4,4,4,4,3
15244,4,5,4,3,5,5,4,5,3,5,5,4,5,4,5,4,5,5,4,
15289,4,4,5,5,5,5,5,4,4,5,5,4,4,4,4,4,4,5,5,3
15291,4,5,5,4,5,5,5,4,5,4,5,5,4,4,5,4,4,4,4,
15304,3,4,4,4,4,5,3,4,4,3,5,4,4,4,4,4,4,4,4,4
15361,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
15395,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
15400,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
15426,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,
15396,4,4,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,
15456,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3
15435,4,4,4,3,4,4,4,4,3,4,4,3,4,3,4,3,3,3,3,
15515,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,
15541,4,4,5,5,5,5,5,5,3,5,5,4,3,3,4,4,5,5,5,
15557,4,5,4,4,5,5,5,5,4,5,4,4,4,3,4,5,4,4,3,4
15478,4,4,5,4,5,4,5,1,4,5,5,4,4,4,4,4,4,4,4,
15571,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
14682,5,4,4,5,4,5,5,5,4,5,5,4,4,4,4,5,4,4,4,4
15597,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5
15641,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
15654,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
15701,4,2,4,4,5,5,5,5,3,5,5,5,5,3,5,5,3,4,4,3
15299,4,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,
15529,5,5,4,4,4,5,5,5,4,5,5,5,5,3,4,4,5,5,4,
15758,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15896,4,4,4,4,5,4,4,4,4,5,5,4,3,3,4,4,4,4,3,
16207,5,3,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
16458,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,4
16522,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16655,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
16933,4,4,4,5,4,5,5,5,5,5,5,4,4,4,4,5,4,4,4,
16918,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,5,5,4
16962,5,3,4,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,
17159,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17568,5,3,4,4,5,4,4,4,3,4,5,4,3,3,4,3,4,4,4,4
18141,3,4,5,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4
18796,5,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,
20367,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,
20180,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23778,4,4,4,4,5,5,4,5,5,5,5,4,4,4,4,5,4,4,4,
23802,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3
24887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
26069,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26065,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
26058,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,
26061,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26062,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
26057,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
26077,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26081,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
26076,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26075,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
26074,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26066,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
26064,5,4,4,4,4,4,5,4,5,5,5,5,4,5,4,4,4,5,5,
26083,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,
26063,3,3,3,3,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,
26078,4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,3,3,4
26090,4,4,3,4,5,5,5,5,5,5,5,3,3,3,3,4,3,4,3,3
26082,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26085,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26093,3,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,
26132,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
26095,4,4,5,4,4,4,5,4,3,5,5,4,3,4,3,3,3,4,3,3
26125,5,3,5,5,5,5,5,5,3,5,5,3,4,3,5,5,5,5,5,
26147,3,3,4,3,5,4,5,5,5,5,4,4,5,5,4,5,4,3,4,
26148,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26141,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
26157,4,3,4,4,4,4,5,4,4,5,4,3,4,3,4,4,4,4,4,4
26140,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
26171,4,4,4,4,4,5,5,5,3,5,5,3,4,2,3,4,5,5,5,
26160,5,5,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,5,4,4
26161,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26173,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,5,4,5
26178,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26170,4,3,5,4,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,4
26191,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5
26198,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
26202,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26216,5,4,5,3,4,5,5,4,5,5,5,5,5,5,5,4,5,4,5,
26258,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,
26328,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,5,5,5,
26199,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,
26400,4,4,3,4,4,5,4,4,4,4,5,3,4,4,5,4,4,4,4,4
26514,4,4,4,4,4,4,3,4,4,5,4,4,4,3,3,3,3,3,3,
26519,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
26671,4,4,4,4,5,5,5,5,5,5,5,4,5,2,3,4,3,4,4,
26765,4,3,4,5,4,4,4,5,5,5,4,4,4,3,4,4,4,4,4,5
26739,4,4,5,5,4,5,5,5,5,5,4,5,4,5,4,5,5,4,4,4
26816,5,3,5,4,5,5,5,5,3,5,5,4,3,3,3,5,5,5,3,
26895,4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,5
27004,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
27015,4,3,4,4,4,4,3,4,3,4,3,3,4,3,3,4,4,4,4,
27046,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
27725,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
27863,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5
28045,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4
