ID,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10
14711,3,4,3,1,2,3,1,4,4,3
14708,4,4,3,2,3,4,2,3,3,3
14834,5,5,4,1,4,4,1,4,5,5
14814,5,4,3,1,3,2,3,4,4,4
14817,4,4,3,2,3,2,1,4,4,5
14849,5,5,3,3,5,5,2,5,5,5
14853,4,4,4,2,4,4,2,4,4,4
14858,5,5,5,2,3,4,2,4,4,4
14871,5,5,5,1,3,4,1,4,4,4
14883,4,3,3,2,3,3,2,3,3,4
14860,4,4,3,2,2,2,2,3,4,3
14707,4,3,3,2,4,4,3,4,3,3
14731,4,4,4,1,5,5,1,4,4,4
14930,3,2,3,3,3,3,2,3,3,3
14919,5,5,5,1,5,5,1,5,5,5
14623,5,5,4,1,4,4,1,5,5,5
15036,4,4,3,1,4,3,1,4,4,4
15062,2,2,2,2,2,3,3,3,3,3
15126,3,4,3,3,3,3,4,4,3,4
15149,4,4,4,2,3,4,2,3,3,3
15204,4,4,3,1,2,2,1,4,4,4
15222,5,4,3,1,4,4,2,4,5,4
15169,5,4,3,2,4,4,1,4,4,5
15272,3,2,2,2,2,2,3,2,2,2
15274,4,4,4,2,3,4,2,4,3,4
15244,4,3,4,2,4,4,4,4,3,3
15289,2,4,1,1,1,1,1,1,4,2
15291,4,3,2,2,3,3,2,4,4,4
15304,4,4,4,3,3,4,2,4,3,3
15361,4,4,4,4,4,4,3,3,4,4
15395,4,4,4,2,3,3,3,4,3,4
15400,4,3,3,2,3,3,2,3,4,4
15426,4,3,4,2,4,3,2,4,4,4
15396,4,3,2,1,2,2,2,3,4,4
15456,4,4,4,2,3,4,2,3,4,4
15435,4,5,3,2,3,3,3,4,4,5
15515,5,4,4,2,4,2,1,4,4,4
15541,5,3,3,1,4,4,1,4,3,4
15557,4,3,3,2,4,3,3,4,3,3
15478,4,4,4,1,4,4,1,4,4,4
15571,3,4,3,2,5,5,2,5,5,3
14682,4,4,2,2,3,3,4,4,4,3
15597,4,2,1,1,2,2,4,3,3,2
15641,4,4,4,2,4,4,2,4,4,4
15654,4,4,4,2,2,2,2,3,4,3
15701,3,3,2,1,2,2,3,4,4,3
15299,4,4,3,1,2,2,3,3,3,4
15529,4,3,3,1,2,2,2,5,2,3
15758,5,5,5,1,3,3,1,5,5,5
15896,5,5,3,1,3,3,1,3,3,4
16207,3,3,3,3,3,3,3,3,3,3
16458,4,4,4,2,4,2,2,4,5,4
16522,5,4,3,1,4,4,2,3,4,5
16655,4,4,2,1,3,3,2,4,4,4
16933,4,4,4,2,4,5,1,5,5,5
16918,5,4,1,1,3,3,1,3,5,4
16962,4,4,4,2,4,3,2,4,3,4
17159,3,3,3,3,3,3,3,3,3,3
17568,3,4,3,4,4,3,2,4,3,3
18141,4,4,3,3,4,3,3,4,4,4
18796,4,5,4,2,4,4,2,3,3,4
20367,4,4,3,2,3,3,3,4,4,4
20180,4,4,3,2,3,4,2,3,3,3
23778,5,5,4,1,3,3,2,4,4,5
23802,5,5,3,1,3,3,1,5,5,5
24887,4,4,4,2,4,4,2,4,4,4
26069,4,4,4,4,4,4,4,4,4,4
26065,4,4,4,1,4,4,2,4,4,4
26058,3,3,3,2,3,3,3,3,3,3
26061,4,4,4,2,4,4,2,4,4,3
26062,3,4,2,2,1,1,2,3,3,3
26057,4,4,3,1,3,3,1,4,5,5
26077,5,4,3,2,3,3,2,4,4,4
26081,5,5,5,5,5,5,5,5,5,5
26076,5,5,4,1,2,2,2,3,4,5
26075,3,3,3,3,3,3,3,3,3,3
26074,5,5,4,1,3,4,1,4,5,5
26066,5,5,4,1,3,4,1,4,5,5
26064,5,3,4,1,2,1,2,4,4,5
26083,3,3,3,3,3,3,2,4,3,2
26063,4,4,4,2,3,3,2,3,3,3
26078,4,5,3,2,4,4,2,3,3,4
26090,4,4,3,2,3,3,3,3,4,4
26082,5,5,2,1,2,2,1,3,4,5
26085,4,4,4,1,3,3,1,4,4,4
26093,3,3,3,2,3,2,2,2,2,3
26132,5,5,1,1,3,3,1,4,4,5
26095,4,4,3,2,2,3,2,3,3,4
26125,4,4,2,2,1,1,2,3,3,2
26147,5,4,4,2,3,3,2,4,4,3
26148,3,3,3,3,3,3,3,3,3,3
26141,5,5,3,1,3,3,2,3,4,4
26157,5,3,4,2,1,2,2,2,3,4
26140,4,4,4,2,3,3,2,3,3,3
26171,4,4,4,2,3,3,2,3,3,3
26160,5,5,4,1,4,3,2,3,4,4
26161,4,4,4,2,4,4,2,4,4,4
26173,4,4,4,2,2,2,3,2,4,3
26178,5,5,5,2,4,5,3,4,4,4
26170,4,4,4,1,3,3,1,4,4,4
26191,4,4,3,2,4,3,2,3,4,3
26198,4,4,4,2,2,2,2,4,4,4
26202,5,4,2,1,4,4,1,3,5,5
26216,5,5,4,1,4,3,1,5,5,5
26258,4,4,4,2,3,3,1,3,3,4
26328,4,4,2,3,4,4,2,3,3,3
26199,5,3,2,1,2,2,3,3,3,4
26400,4,4,3,2,3,4,2,4,4,4
26514,4,4,4,2,3,3,2,3,3,3
26519,4,4,4,2,3,4,2,3,4,3
26671,4,4,4,2,4,3,2,3,3,3
26765,5,4,4,1,4,5,2,4,3,4
26739,5,4,2,1,3,3,1,3,4,4
26816,3,3,3,2,3,3,2,3,3,3
26895,5,5,5,1,4,4,1,5,4,4
27004,3,3,3,3,3,3,3,3,3,3
27015,3,4,3,2,3,3,3,3,3,2
27046,4,3,2,1,1,1,2,3,3,2
27725,3,3,3,3,3,3,3,3,3,3
27863,5,5,5,1,3,3,1,5,4,5
28045,5,4,4,2,4,3,1,4,4,5
